trial_id,loss,val_loss,activation_function,initial_filters,learning_rate
342053582df062745bf8086bedf820ba,0.0014709887327626348,0.0013072943547740579,relu,128,0.001
eefbe9d19b4fdbb5665f661dce9609da,0.0014806203544139862,0.0014015233609825373,relu,64,0.001
a3ab58c841a1417a9eaa26ce84dfd3fa,0.0016754703829064965,0.0014368335250765085,relu,128,0.01
1fe2ad2e76c47be46a11506ed5a90685,0.0016576856141909957,0.0014849023427814245,relu,32,0.01
b0e985e713755d034ecfedc63807d45e,0.0016250800108537078,0.0015756516950204968,relu,128,0.0001
ba068f09620b3b6a67d4a569107b183c,0.0019190850434824824,0.001595867215655744,leaky_relu,128,0.001
0a1cacc62f8ad6b37c75108cfe6e8671,0.0018441571155562997,0.001627463148906827,relu,64,0.01
01db25d960d9c3465a19674f8f4a5009,0.0018088191282004118,0.0017111394554376602,relu,64,0.0001
db8d812bb41ea3b0b245d5111d87c19e,0.0017674821428954601,0.0017495471984148026,relu,32,0.001
5e5114e4a9c0748611108d04bcf62fd0,0.0019855208229273558,0.0018404287984594703,leaky_relu,128,0.0001
0e3d0c8a645172e24a7388ed07481540,0.0021171444095671177,0.0018492487724870443,leaky_relu,128,0.01
71d7c67f486369f27ea4ae49a0ceed35,0.001917071989737451,0.0018555590650066733,tanh,64,0.01
41572b339d31ad81e44ca64700877435,0.0021015035454183817,0.0018762836698442698,tanh,128,0.001
cb85c7d9778b8c1e7fe8167458293bda,0.001527645974420011,0.0018925678450614214,sigmoid,128,0.01
fedaf2946e07e8cd88b249954aee11e6,0.002121020806953311,0.0019129019929096103,leaky_relu,64,0.001
419c3f93c6aa8d03e0ee90f40c0562e8,0.0021900697611272335,0.0019253080245107412,tanh,64,0.001
e1c121a37f3d39f2626e9636f662ff91,0.002129430416971445,0.0019433804554864764,tanh,128,0.0001
7fdb3ba314332a1b27d1a386fbeb9c6c,0.002397720003500581,0.001972550293430686,leaky_relu,64,0.01
2ec96726fe827417d91cae41c9423142,0.001849234919063747,0.0020385237876325846,sigmoid,128,0.001
5b2d49564dad1ac95ffe0624ed398615,0.001959658693522215,0.002051526913419366,sigmoid,64,0.001
e0ff2a37dc0f45f3523737785de14195,0.002238338114693761,0.002068985253572464,leaky_relu,64,0.0001
84bdc356fdf5f3f297dbd13da931ee13,0.0022017292212694883,0.0021118451841175556,leaky_relu,32,0.001
669d81ff68835a76357fb7b74ec387bc,0.0023894018959254026,0.002129998989403248,leaky_relu,32,0.01
0ccc7cb553eab40b3a7bb8b38cf77e6e,0.002454108791425824,0.002279718406498432,sigmoid,32,0.001
aeea519bbd90678ab29454f6ff50cb22,0.0022045017685741186,0.002353810705244541,sigmoid,128,0.0001
31570bd5b7fd50d3dd44201be7531f2c,0.0020146179012954235,0.0023821149952709675,tanh,32,0.01
ad3585dedea9cb78b1a5e54738909a7b,0.002656190423294902,0.0024807986337691545,relu,32,0.0001
50a159c1f923e8264f0e4caa65f53deb,0.0026435016188770533,0.0025940979830920696,tanh,32,0.001
93f02ed91590244ffeb8da7a9a2c28ed,0.0029379650950431824,0.0027607246302068233,tanh,64,0.0001
3df542a9c4436189c16888c7d43a2b10,0.002512458013370633,0.002886335365474224,tanh,128,0.01
baf13dd88af550d085965227685471ac,0.003389294957742095,0.0028948786202818155,leaky_relu,32,0.0001
1022c8d3003302472acbd33c7b2456ab,0.0020441189408302307,0.002991477958858013,sigmoid,64,0.01
70ca6fc6ee4c840c8f4224aa3f0affe7,0.0020270845852792263,0.0031284161377698183,sigmoid,32,0.01
355197584f904f75646ba96616925b2f,0.0030136341229081154,0.003595971968024969,sigmoid,64,0.0001
57cd1cee794501b99058d9f4fb19f453,0.004109883680939674,0.003725318470969796,tanh,32,0.0001
a2a8fb52a26169c01644e66efe09e04f,0.0038146767765283585,0.003922066651284695,sigmoid,32,0.0001
